bank.account,duration.in.month,credit.history,purpose,credit.amount,savings,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreigner,creditability
yes,6,critical account/ other credits existing (other lender),radio/television,1169,unknown/no savings,... >= 7 years,< 20,male : single,none,>= 7 years,real estate,67,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
yes,48,existing credits paid back duly till now,radio/television,5951,... < 1000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,22,none,own,1,skilled employee / official,1,none,yes,bad
no,12,critical account/ other credits existing (other lender),education,2096,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,4 <= ... < 7 years,real estate,49,none,own,1,unskilled - resident,2,none,yes,good
yes,42,existing credits paid back duly till now,furniture/equipment,7882,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,guarantor,>= 7 years,building society savings agreement/ life insurance,45,none,for free,1,skilled employee / official,2,none,yes,good
yes,24,delay in paying off in the past,car (new),4870,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,>= 7 years,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,bad
no,36,existing credits paid back duly till now,education,9055,unknown/no savings,1 <= ... < 4 years,25 <= ... < 35,male : single,none,>= 7 years,unknown / no property,35,none,for free,1,unskilled - resident,2,registered under the customers name,yes,good
no,24,existing credits paid back duly till now,furniture/equipment,2835,5000 <= ... < 10000,... >= 7 years,20 <= ... < 25,male : single,none,>= 7 years,building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,none,yes,good
yes,36,existing credits paid back duly till now,car (used),6948,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,35,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,12,existing credits paid back duly till now,radio/television,3059,... >= 10000,4 <= ... < 7 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,real estate,61,none,own,1,unskilled - resident,1,none,yes,good
yes,30,critical account/ other credits existing (other lender),car (new),5234,... < 1000,unemployed,< 20,male : married/widowed,none,1 <= ... < 4 years,car or other-not included in savings,28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,bad
yes,12,existing credits paid back duly till now,car (new),1295,... < 1000,... < 1 year,20 <= ... < 25,female : divorced/separated/married,none,< 1 year,car or other-not included in savings,25,none,rent,1,skilled employee / official,1,none,yes,bad
yes,48,existing credits paid back duly till now,business,4308,... < 1000,... < 1 year,20 <= ... < 25,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes,bad
yes,12,existing credits paid back duly till now,radio/television,1567,... < 1000,1 <= ... < 4 years,>= 35,female : divorced/separated/married,none,< 1 year,car or other-not included in savings,22,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,24,critical account/ other credits existing (other lender),car (new),1199,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,60,none,own,2,unskilled - resident,1,none,yes,bad
yes,15,existing credits paid back duly till now,car (new),1403,... < 1000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,28,none,rent,1,skilled employee / official,1,none,yes,good
yes,24,existing credits paid back duly till now,radio/television,1282,1000 <= ... < 5000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,32,none,own,1,unskilled - resident,1,none,yes,bad
no,24,critical account/ other credits existing (other lender),radio/television,2424,unknown/no savings,... >= 7 years,< 20,male : single,none,>= 7 years,building society savings agreement/ life insurance,53,none,own,2,skilled employee / official,1,none,yes,good
yes,30,no credits taken/ all credits paid back duly,business,8072,unknown/no savings,... < 1 year,25 <= ... < 35,male : single,none,4 <= ... < 7 years,car or other-not included in savings,25,bank,own,3,skilled employee / official,1,none,yes,good
yes,24,existing credits paid back duly till now,car (used),12579,... < 1000,... >= 7 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,unknown / no property,44,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
no,24,existing credits paid back duly till now,radio/television,3430,5000 <= ... < 10000,... >= 7 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,car or other-not included in savings,31,none,own,1,skilled employee / official,2,registered under the customers name,yes,good
no,9,critical account/ other credits existing (other lender),car (new),2134,... < 1000,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,48,none,own,3,skilled employee / official,1,registered under the customers name,yes,good
yes,6,existing credits paid back duly till now,radio/television,2647,5000 <= ... < 10000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,4 <= ... < 7 years,real estate,44,none,rent,1,skilled employee / official,2,none,yes,good
yes,10,critical account/ other credits existing (other lender),car (new),2241,... < 1000,... < 1 year,>= 35,male : single,none,4 <= ... < 7 years,real estate,48,none,rent,2,unskilled - resident,2,none,no,good
